TITRE;GENRE;NATIONALITE;DEVIS;LANGUE;;
MATRUBHOOMI UN MONDE SANS FEMMES;Fiction;France/Inde;450 000,00;FR/EN;;
NE FAIS PAS CA;Fiction;France/Allemagne;4 572 996,00;FR/EN;;
BOITE NOIRE (LA);Fiction;France;8 392 891,00;FR/EN;;
HAUTE TENSION;Fiction;France;2 480 019,00;FR/EN;;
MONDOVINO;Documentaire;France;1 506 434,00;FR/EN;;
QUAND LES ANGES S'EN MELENT;Fiction;France;780 840,00;FR/EN;;
REAL'MOVIE;Fiction;France;347 810,00;FR/EN;;
A bas bruit;Fiction;France;0,15;FR/EN;;
Jeu de la vérité (Le);Fiction;France;3,32;FR/EN;;
Left foot right foot;Fiction;Suisse/France;2,18;FR/EN;;
Pouvoir (Le);Docu;France;1,25;FR/EN;;
Après l'ombre;Docu;France;227 805,00;FR/EN;;
Climax;Fiction;France;2 670 358,00;FR/EN;;
Fête des mères (La);Fiction;France;5 635 015,00;FR/EN;;
Nous finirons ensemble;Fiction;France;16 338 833,00;FR/EN;;
Amour est une fête (L');Fiction;France;6 933 377,00;FR/EN;;
Gueule d'ange;Fiction;France;4 449 451,00;FR/EN;;
Marche de l'empereur : l'appel de l'Antarctique (La);Docu;France;2 432 146,00;FR/EN;;
Mémoires du cachot;Fiction;Espagne/France;2 970 000,00;FR/EN;;
Monsieur je-sais-tout;Fiction;France;5 163 244,00;FR/EN;;
Petit proxénète (Le);Fiction;France;2 175 823,00;FR/EN;;
Reptiles (Les);Fiction;France;1 205 598,00;FR/EN;;
Un homme pressé;Fiction;France;7 992 745,00;FR/EN;;
Voyage d'Ailo (Le);Docu;France/Finlande/Norvège;2 829 918,00;FR/EN;;
A Gentle Creature;Fiction;France/Allemagne/Pays-bas/Lituanie;2 106 177,00;FR/EN;;
Belinda;Docu;France;488 254,00;FR/EN;;
Funan;Anim;France/Luxembourg/Belgique;5 055 789,00;FR/EN;;
Lion est mort ce soir (Le);Fiction;France;2 178 464,00;FR/EN;;
Monsieur et Madame Adelman;Fiction;France;5 983 685,00;FR/EN;;
Patients;Fiction;France;3 986 928,00;FR/EN;;
Personal Shopper;Fiction;France/Allemagne;5 915 967,00;FR/EN;;
Soif de vivre (La);Docu;France;66 007,00;FR/EN;;
Un été en Provence;Fiction;France;300 000,00;FR/EN;;
Vent du nord;Fiction;France/Tunisie/Belgique;1 781 024,00;FR/EN;;
Voleur d'histoire;Fiction;France;84 287,00;FR/EN;;
Zombillenium;Anim;France;13 394 317,00;FR/EN;;
L'Ultima spiaggia;Docu;Italie/Grèce/France;250 084,00;FR/EN;;
Une famille heureuse;Fiction;Allemagne/Géorgie/France;1 777 000,00;FR/EN;;
Zoologie;Fiction;Russie/France/Allemagne;1 167 362,00;FR/EN;;
A L'AVEUGLE;Fiction;France;9 045 865,00;FR/EN;;
ARCHIPELITUDE;Documentaire;France;386 866,00;FR/EN;;
CHERCHEZ HORTENSE;Fiction;France;4 533 497,00;FR/EN;;
DAVID ET MADAME HANSEN;Fiction;France;6 670 000,00;FR/EN;;
DU VENT DANS MES MOLLETS;Fiction;France;5 229 977,00;FR/EN;;
ENFANT DES MINES (L');Fiction;Roumanie/Allemagne/France;689 220,00;FR/EN;;
FRANCE, TERRA INCOGNITA;Documentaire;France;812 439,00;FR/EN;;
GEBO ET L'OMBRE;Fiction;France/Portugal;2 090 000,00;FR/EN;;
MON AMOUR;Documentaire;France;655 183,00;FR/EN;;
SAC DE FARINE (LE);Fiction;Belgique/Maroc/France;2 200 000,00;FR/EN;;
TANTE HILDA !;Animation;France/Luxembourg;7 290 540,00;FR/EN;;
ANNÉE SUIVANTE (L');Fiction;France;1 755 478,00;FR/EN;;
BLUES DE L'ORIENT (LE);Documentaire;France/Canada;469 017,00;FR/EN;;
CALIFORNIE (LA);Fiction;France;3 984 460,00;FR/EN;;
CÉLIBATAIRES;Fiction;France;2 473 067,00;FR/EN;;
CHARME DES IMPOSSIBILITÉS (LE);Documentaire;France;621 983,00;FR/EN;;
DARSHAN L'ETREINTE;Documentaire;France/Allemagne;980 000,00;FR/EN;;
HEROS FRAGILES;Documentaire;France;743 762,00;FR/EN;;
MUETTER;Fiction;France;850 931,00;FR/EN;;
PETITES VACANCES (LES);Fiction;France;1 491 996,00;FR/EN;;
QUELQUES JOURS EN SEPTEMBRE;Fiction;France/Italie;5 274 457,00;FR/EN;;
REINE SOLEIL (LA);Animation;France/Hongrie/Belgique;5 331 673,00;FR/EN;;
TRÈS BIEN, MERCI;Fiction;France;2 190 755,00;FR/EN;;
A L'ORIGINE;Fiction;France;10 250 104,00;FR/EN;;
ALGERIE, HISTOIRES A NE PAS DIRE;Documentaire;France;538 115,00;FR/EN;;
BLONDE AUX SEINS NUS (LA);Fiction;France;4 077 537,00;FR/EN;;
EDEN À L'OUEST;Fiction;France/Italie/Grece;7 275 724,00;FR/EN;;
EMMERDEUR (L');Fiction;France;22 242 794,00;FR/EN;;
ICH BIN EINE TERRORISTIN;Fiction;France;607 278,00;FR/EN;;
IRENE;Fiction;France;553 842,00;FR/EN;;
JE SUIS;Documentaire;France/Belgique;797 317,00;FR/EN;;
MORCEAUX DE CONVERSATIONS AVEC JEAN-LUC GODARD;Documentaire;France;141 217,00;FR/EN;;
THE PRODIGIES;Animation;France/Belgique/Luxembourg;21 540 259,00;FR/EN;;
Amis publics n°1;Fiction;France;6094574;FR/EN;;
Des nouvelles de la planète Mars;Fiction;France;5842623;FR/EN;;
D'une pierre deux coups;Fiction;France;1219623;FR/EN;;
Effet aquatique (L');Fiction;France/Islande;1531662;FR/EN;;
Et mon cœur transparent;Fiction;France;990052;FR/EN;;
Femmes en cuisine(s);Docu;France;198353;FR/EN;;
Ornithologue (l');Fiction;Portugal/France/Brésil;1249558;FR/EN;;
Pris de court;Fiction;France;1168947;FR/EN;;
Spartacus & Cassandra;Docu;France;311693;FR/EN;;
AFFAIRE DE FAMILLE;Fiction;France;2 650 366,00;FR/EN;;
CLARA;Fiction;Allemagne/France/Hongrie;4 692 857,00;FR/EN;;
D'ARUSHA A ARUSHA;Documentaire;France/Canada;537 490,00;FR/EN;;
FEMMES DE L'OMBRE (LES);Fiction;France;19 420 947,00;FR/EN;;
FILLE DE MONACO (LA);Fiction;France;8 372 451,00;FR/EN;;
GO FAST;Fiction;France;10 255 540,00;FR/EN;;
INSOUMIS (LES);Fiction;France;8 448 227,00;FR/EN;;
LADY JANE;Fiction;France;4 017 426,00;FR/EN;;
MR 73;Fiction;France/Italie;12 269 265,00;FR/EN;;
NOUVEAU PROTOCOLE (LE);Fiction;France;8 369 740,00;FR/EN;;
SKATE OR DIE;Fiction;France;6 776 849,00;FR/EN;;
AVANT QU'IL NE SOIT TROP TARD;Fiction;France;2 565 027,00;FR/EN;;
C'EST PAS MOI !…;Fiction;Canada/Grande Bretagne/France;3 328 000,00;FR/EN;;
ESPACE DETENTE;Fiction;France;10 717 009,00;FR/EN;;
IL ETAIT UNE FOIS DANS L'OUED;Fiction;France;4 920 845,00;FR/EN;;
JOURS OU JE N'EXISTE PAS (LES);Fiction;France;329 649,00;FR/EN;;
KIRIKOU ET LES BETES SAUVAGES;Animation;France;4 809 196,00;FR/EN;;
MAUVAIS JOUEURS (LES);Fiction;France;2 748 387,00;FR/EN;;
MON ANGE;Fiction;France/Belgique/Pays Bas;5 333 801,00;FR/EN;;
PEINDRE OU FAIRE L'AMOUR;Fiction;France;4 259 151,00;FR/EN;;
TOUTE LA BEAUTÉ DU MONDE;Fiction;France;5 302 051,00;FR/EN;;
BENDA BILILI !;Documentaire;France;735 113,00;FR/EN;;
CAMPING 2;Fiction;France;23 066 167,00;FR/EN;;
ENFANCE D'ICARE (L');Fiction;Suisse/Roumanie/France;1 129 504,00;FR/EN;;
GRANDE VIE (LA);Fiction;France;3 148 394,00;FR/EN;;
NUITS ROUGES DU BOURREAU DE JADE (LES);Fiction;France/Belgique;3 001 261,00;FR/EN;;
PIEDS NUS SUR LES LIMACES;Fiction;France;3 203 905,00;FR/EN;;
SINGULARITES D'UNE JEUNE FILLE BLONDE;Fiction;Portugal/France/Espagne;1 595 096,00;FR/EN;;
VILLAGE DES OMBRES (LE);Fiction;France;1 751 937,00;FR/EN;;
BIENVENUE A BATAVILLE;Documentaire;France;540 000,00;FR/EN;;
CAÏMAN (LE);Fiction;Italie/France;7 672 250,00;FR/EN;;
CAROTTE ET LE BATON (LA);Documentaire;France;165 139,00;FR/EN;;
CHERCHE FIANCE TOUS FRAIS PAYES;Fiction;France;3 744 157,00;FR/EN;;
COMBIEN TU M'AIMES ?;Fiction;France/Italie;9 978 273,00;FR/EN;;
CROISIERE;Fiction;France;1 091 802,00;FR/EN;;
DOUBLURE (LA);Fiction;France/Italie;25 322 778,00;FR/EN;;
IL A SUFFI QUE MAMAN S'EN AILLE;Fiction;France;489 225,00;FR/EN;;
PRESTIGE DE LA MORT (LE);Fiction;France;1 191 811,00;FR/EN;;
AFFAIRE FAREWELL (L');Fiction;France;17 804 282,00;FR/EN;;
CARRE BLANC;Fiction;France/Luxembourg/Belgique/Suisse;3 056 342,00;FR/EN;;
DAME DE TRÈFLE (LA);Fiction;France;2 488 804,00;FR/EN;;
MOI, LA FINANCE ET LE DEVELOPPEMENT DURABLE;Documentaire;France;447 796,00;FR/EN;;
PÈRE DE MES ENFANTS (LE);Fiction;France/Allemagne;2 301 539,00;FR/EN;;
PREMIER CERCLE (LE);Fiction;France;15 002 513,00;FR/EN;;
UN HOMME ET SON CHIEN;Fiction;France/Italie;8 405 297,00;FR/EN;;
25 DEGRES EN HIVER;Fiction;Belgique/France/Espagne;1 755 521,00;FR/EN;;
BAB AZIZ;Fiction;France/Allemagne/Tunisie/Grande Bretagne;2 306 378,00;FR/EN;;
BELZEC;Documentaire;France;899 952,00;FR/EN;;
CAMERA DE BOIS (LA);Fiction;France/Grande Bretagne;1 653 548,00;FR/EN;;
ROLE DE SA VIE (LE);Fiction;France;3 791 082,00;FR/EN;;
TROUBLE;Fiction;France/Belgique;4 798 992,00;FR/EN;;
Chant du loup (Le);Fiction;France;18 756 318,00;FR/EN;;
Comment j'ai rencontré ma mère;Docu;France;276 557,00;FR/EN;;
Frères Sisters (Les);Fiction;France/Espagne/Roumanie/Belgique;34 914 048,00;FR/EN;;
Jumbo;Fiction;France/Luxembourg/Belgique;2 921 217,00;FR/EN;;
Lands of loneliness;Fiction;Espagne/France;493 290,00;FR/EN;;
M.I.L.F. (Mother I'd Like to Fuck);Fiction;France;4 401 992,00;FR/EN;;
Negative Numbers;Fiction;Géorgie/France/Italie;506 755,00;FR/EN;;
Périmètre de Kamcé (Le);Docu;Suisse/France;360 058,00;FR/EN;;
Plus belles années (Les);Fiction;France;3 831 872,00;FR/EN;;
Premier de la classe;Fiction;France/Belgique;5 982 772,00;FR/EN;;
Système K;Docu;France;580 140,00;FR/EN;;
Tanguy 2;Fiction;France;9 506 173,00;FR/EN;;
Terminal Sud;Fiction;France;1 829 725,00;FR/EN;;
The sonata;Fiction;France/Lettonie/Grande Bretagne/Russie;1 675 257,00;FR/EN;;
Traducteurs (Les);Fiction;France;9 769 551,00;FR/EN;;
Vers la bataille;Fiction;France/Colombie;1 730 494,00;FR/EN;;
Yalda;Fiction;France/Allemagne/Luxembourg/Suisse;1 249 760,00;FR/EN;;
#Eurotrip;Fiction;France;1 416 794,00;FR/EN;;
Affamés (Les);Fiction;France;4 720 126,00;FR/EN;;
Assemblée (L');Docu;France;161 260,00;FR/EN;;
Barman du transatlantique (Le);Docu;France;288 638,00;FR/EN;;
Champs de fleurs (Les);Fiction;France;6 968 331,00;FR/EN;;
Chien;Fiction;France/Belgique;3 480 492,00;FR/EN;;
Cold skin;Fiction;Espagne/France;6 602 156,00;FR/EN;;
Gardiennes (Les);Fiction;France/Suisse;8 785 439,00;FR/EN;;
Heure de la sortie (L');Fiction;France;3 167 081,00;FR/EN;;
Même pas froid;Fiction;France;1 208 847,00;FR/EN;;
Nul homme n'est une île;Docu;France;474 857,00;FR/EN;;
Paradise beach;Fiction;France;2 865 364,00;FR/EN;;
Sicilian ghost story;Fiction;Italie/France/Suisse;3 050 931,00;FR/EN;;
Traversée (La);Anim;France/Allemagne/Rép. Tch.;3 062 852,00;FR/EN;;
Tremblements;Fiction;France/Luxembourg;1 196 585,00;FR/EN;;
Volontaire;Fiction;France;4 297 153,00;FR/EN;;
Après la guerre;Fiction;France/Italie;1 670 700,00;FR/EN;;
Atelier (L');Fiction;France;3 501 774,00;FR/EN;;
Dernières nouvelles du cosmos;Docu;France;398 294,00;FR/EN;;
Nino Nadie;Fiction;France/Chili/Allemagne/Grèce;587 200,00;FR/EN;;
Prince de Nothingwood (Le);Docu;France/Allemagne;689 294,00;FR/EN;;
Raid dingue;Fiction;France/Belgique;32 446 758,00;FR/EN;;
Redoutable (Le);Fiction;France;11 112 359,00;FR/EN;;
Soleil battant;Fiction;France;991 108,00;FR/EN;;
Khibula;Fiction;Géorgie/Allemagne/France;1 525 011,00;FR/EN;;
Souvenir;Fiction;Belgique/Luxembourg/France;3 342 139,00;FR/EN;;
Babysitting 2;Fiction;France;9458736;FR/EN;;
Belle dormant (La);Fiction;France/Esp;1186351;FR/EN;;
Chocolat;Fiction;France;19297979;FR/EN;;
Clash;Fiction;Egypte/France;1470300;FR/EN;;
Crash test Aglaé;Fiction;France;2302682;FR/EN;;
Dieumerci !;Fiction;France;3628121;FR/EN;;
Idéal (L');Fiction;France/Belgique;8836565;FR/EN;;
Paris pieds nus;Fiction;Belgique/France;2086837;FR/EN;;
Pattaya;Fiction;France;6539079;FR/EN;;
Tour de france;Fiction;France;3273564;FR/EN;;
Une révolution;Fiction;France;115656;FR/EN;;
30° COULEUR;Fiction;France;8 304 341,00;FR/EN;;
ASSOCIES CONTRE LE CRIME…;Fiction;France;9 445 387,00;FR/EN;;
ASTÉRIX ET OBÉLIX : AU SERVICE DE SA MAJESTE;Fiction;France/Hongrie/Espagne/Italie;61 239 780,00;FR/EN;;
BLACKTHORN;Fiction;Espagne/France;5 000 000,00;FR/EN;;
DES MORCEAUX DE MOI;Fiction;France;1 904 258,00;FR/EN;;
DÉTROIT MES FANTÔMES;Documentaire;France;508 528,00;FR/EN;;
FILLE DU 14 JUILLET (LA);Fiction;France;1 003 532,00;FR/EN;;
LAPIDATION DE SAINT ETIENNE (LA);Fiction;Espagne/France;473 918,00;FR/EN;;
UN ENFANT DE TOI;Fiction;France;2 248 003,00;FR/EN;;
AVANT L'AUBE;Fiction;France/Luxembourg;6 710 004,00;FR/EN;;
CHEZ GINO;Fiction;France/Belgique;7 028 703,00;FR/EN;;
COULEUR DE PEAU : MIEL;Animation;France/Belgique;3 965 953,00;FR/EN;;
COUP D'ECLAT;Fiction;France;4 213 891,00;FR/EN;;
HORS SATAN;Fiction;France;2 018 244,00;FR/EN;;
LEGITIME DEFENSE;Fiction;France/Belgique;4 903 875,00;FR/EN;;
NOCES;Fiction;France/Suisse;1 298 022,00;FR/EN;;
SOLITUDE DES NOMBRES PREMIERS (LA);Fiction;Italie/Allemagne/France;4 752 000,00;FR/EN;;
TERRAFERMA;Fiction;Italie/France;7 850 000,00;FR/EN;;
TU SERAS MON FILS;Fiction;France;6 918 602,00;FR/EN;;
BLOOD TIES;Fiction;France;19 791 362,00;FR/EN;;
COURTIL (LE);Documentaire;France/Belgique;693 195,00;FR/EN;;
IGUANAS;Fiction;Roumanie/France/Allemagne;624 093,00;FR/EN;;
INCONNU DU LAC (L');Fiction;France;1 248 918,00;FR/EN;;
JE NE SUIS PAS LUI;Fiction;Turquie/Grece/France/Allemagne;1 000 000,00;FR/EN;;
OMBRE ET LA LUMIERE (L');Documentaire;France;1 205 238,00;FR/EN;;
PERFECT MOTHERS;Fiction;Australie/France;11 908 774,00;FR/EN;;
VOL DES CORBEAUX (LE);Fiction;Hongrie/Allemagne/France;705 731,00;FR/EN;;
21 nuits avec Pattie;Fiction;France;3,71;FR/EN;;
C'est quoi ce travail ?;Docu;France;0,44;FR/EN;;
Champ du possible (Le);Docu;France;0,38;FR/EN;;
Giovinezza (La);Fiction;Italie/France/Grande Bretagne/Suisse;12,83;FR/EN;;
Marie-thérèse;Fiction;France;0,46;FR/EN;;
Moonwalk;Fiction;France/Belgique;9,9;FR/EN;;
Père Noël (Le);Fiction;France;10,77;FR/EN;;
CARAMEL;Fiction;France/Liban;1 300 000,00;FR/EN;;
ET TOI T'ES SUR QUI ?;Fiction;France;1 262 182,00;FR/EN;;
INVITÉ (L');Fiction;France;12 464 360,00;FR/EN;;
LEÇON DE CHOSES;Fiction;Italie/Grande Bretagne/France/Inde;7 600 000,00;FR/EN;;
REGARDE MOI;Fiction;France;2 164 150,00;FR/EN;;
YEUX BANDÉS (LES);Fiction;France;2 168 223,00;FR/EN;;
A la recherche de Rohmer;Fiction;Chine/France;2,22;FR/EN;;
Cesta ven;Fiction;Rep Tcheque/France;0,69;FR/EN;;
Chambre bleue (La);Fiction;France;2,4;FR/EN;;
Passion selon Laetitia (La);Docu;France;0,46;FR/EN;;
Donbass;Fiction;Allemagne/Ukraine/France/Roumanie/Pays-bas;2 472 143,00;FR/EN;;
France;Docu;France;418 650,00;FR/EN;;
Gomera;Fiction;Roumanie/France/Allemagne;2 769 920,00;FR/EN;;
Lola et ses frères;Fiction;France;5 970 676,00;FR/EN;;
Made in China;Fiction;France;3 692 236,00;FR/EN;;
Alien crystal palace;Fiction;France;949 623,00;FR/EN;;
Au bout des doigts;Fiction;France;5 929 473,00;FR/EN;;
Comme des rois;Fiction;France;2 885 159,00;FR/EN;;
Extraordinaire voyage du Fakir (L');Fiction;France/Belgique/Inde;11 491 629,00;FR/EN;;
Grand bain (Le);Fiction;France;18 942 621,00;FR/EN;;
Quien te cantara;Fiction;Espagne/France;2 726 798,00;FR/EN;;
Richard va en enfer;Fiction;Italie/France;2 538 000,00;FR/EN;;
Submergence;Fiction;Allemagne/France/Espagne;13 237 553,00;FR/EN;;
Ady Gasy;Docu;France;155 834,00;FR/EN;;
Bienvenue au Gondwana;Fiction;France;3 918 569,00;FR/EN;;
Comment j'ai rencontré mon père;Fiction;France/Belgique;4 357 596,00;FR/EN;;
Dream Team (La);Fiction;France;6 821 311,00;FR/EN;;
Just divorced;Fiction;France;5 734 345,00;FR/EN;;
Karim;Fiction;France;289 933,00;FR/EN;;
Rock'n roll;Fiction;France;17 958 089,00;FR/EN;;
Têtes de l'emploi (Les);Fiction;France;5 906 507,00;FR/EN;;
8 FOIS DEBOUT;Fiction;France;1 812 329,00;FR/EN;;
BEAUX GOSSES (LES);Fiction;France;4 215 127,00;FR/EN;;
CARGO;Documentaire;France;540 599,00;FR/EN;;
EN SOUVENIR DE NOUS;Fiction;France;454 754,00;FR/EN;;
ENFANTS DE DON QUICHOTTE (ACTE 1) (LES);Documentaire;France;288 274,00;FR/EN;;
HERBES FOLLES (LES);Fiction;France/Italie;11 148 618,00;FR/EN;;
HORDE (LA);Fiction;France;2 851 821,00;FR/EN;;
LA CAMARA OSCURA;Fiction;Argentine/France;1 039 072,00;FR/EN;;
LOL (LAUGHING OUT LOUD);Fiction;France;9 585 354,00;FR/EN;;
POURSUITE;Fiction;France;967 741,00;FR/EN;;
RAPT !;Fiction;France/Belgique;5 945 097,00;FR/EN;;
ROI DE L'ÉVASION (LE);Fiction;France;1 735 250,00;FR/EN;;
SAFARI;Fiction;France;15 604 229,00;FR/EN;;
UNE SEMAINE SUR DEUX (ET LA MOITIÉ DES VACANCES SCOLAIRES);Fiction;France;7 123 615,00;FR/EN;;
BOARDING GATE;Fiction;France;2 548 379,00;FR/EN;;
COUPABLE;Fiction;France;1 482 001,00;FR/EN;;
DIALOGUE AVEC MON JARDINIER;Fiction;France;8 730 007,00;FR/EN;;
FILLE COUPÉE EN DEUX (LA);Fiction;France/Allemagne;7 452 282,00;FR/EN;;
HANNIBAL LECTER LES ORIGINES DU MAL;Fiction;Grande Bretagne/Republique Tcheque/France/Italie;57 172 165,00;FR/EN;;
JE PENSE A VOUS;Fiction;France;3 236 504,00;FR/EN;;
PEUR(S) DU NOIR;Animation;France/Belgique;3 837 750,00;FR/EN;;
VIE INTERIEURE DE MARTIN FROST (LA);Fiction;France/Portugal/Espagne;1 678 450,00;FR/EN;;
APPRENTI (L');Documentaire;France;824 369,00;FR/EN;;
COMME TON PERE;Fiction;France/Israel;4 905 915,00;FR/EN;;
DEUX VIES PLUS UNE;Fiction;France;3 014 407,00;FR/EN;;
ENTRE LES MURS;Fiction;France;2 476 672,00;FR/EN;;
HEURE ZERO (L');Fiction;France;8 561 218,00;FR/EN;;
ILLUSIONNISTE (L');Animation;Grande Bretagne/France;16 300 000,00;FR/EN;;
NO BODY IS PERFECT;Documentaire;France;975 652,00;FR/EN;;
ORA DI PUNTA (L');Fiction;Italie/France;2 850 011,00;FR/EN;;
RUMBA;Fiction;Belgique/France;2 100 000,00;FR/EN;;
SURVIVRE AVEC LES LOUPS;Fiction;France/Belgique;7 119 833,00;FR/EN;;
TUEUR (LE);Fiction;France;3 600 026,00;FR/EN;;
COMME DES FRERES;Fiction;France;4 912 021,00;FR/EN;;
DES VENTS CONTRAIRES;Fiction;France;3 509 224,00;FR/EN;;
ENFANT D'EN HAUT (L');Fiction;Suisse/France;4 615 169,00;FR/EN;;
LAURENCE ANYWAYS;Fiction;Canada/France;6 714 286,00;FR/EN;;
LULLABY TO MY FATHER;Documentaire;France/Suisse/Italie/Pologne;1 288 427,00;FR/EN;;
NOUVELLE GUERRE DES BOUTONS (LA);Fiction;France;14 932 668,00;FR/EN;;
PIAZZA FONTANA;Fiction;Italie/France;8 300 000,00;FR/EN;;
QUAND JE SERAI PETIT;Fiction;France;3 970 763,00;FR/EN;;
TAKEN 2;Fiction;France;37 112 087,00;FR/EN;;
BUS PALLADIUM;Fiction;France;7 935 256,00;FR/EN;;
FIN DE CONCESSION;Documentaire;France;440 252,00;FR/EN;;
HARRAGAS;Fiction;France/Algerie;1 942 049,00;FR/EN;;
JE SUIS UN NO MAN'S LAND;Fiction;France;1 044 385,00;FR/EN;;
PETITS MOUCHOIRS (LES);Fiction;France;17 420 025,00;FR/EN;;
RIVIERE TUMEN (LA);Fiction;Coree/France;820 000,00;FR/EN;;
TU N'AIMERAS POINT;Fiction;Israel/Allemagne/France;1 015 161,00;FR/EN;;
C'EST GRADIVA QUI VOUS APPELLE;Fiction;France/Belgique;1 900 114,00;FR/EN;;
CONGORAMA;Fiction;Canada/Belgique/France;3 239 621,00;FR/EN;;
MEDIEVAL PIE : TERRITOIRES VIERGES;Fiction;Grande Bretagne/Italie/France/Luxembourg;28 212 355,00;FR/EN;;
NE LE DIS À PERSONNE;Fiction;France;11 704 565,00;FR/EN;;
NUIT DES TOURNESOLS (LA);Fiction;Espagne/Portugal/France;2 393 704,00;FR/EN;;
A BOIRE;Fiction;France;4 398 786,00;FR/EN;;
CAUSE TOUJOURS!;Fiction;France;5 020 823,00;FR/EN;;
EX FEMME DE MA VIE (L');Fiction;France;8 208 980,00;FR/EN;;
ODESSA… ODESSA !;Documentaire;France/Israel;465 494,00;FR/EN;;
RRRRRRR !!!;Fiction;France;17 820 081,00;FR/EN;;
Age d'or (l');Fiction;Italie/France;1781634;FR/EN;;
Chouf;Fiction;France;3064140;FR/EN;;
Confessions (les);Fiction;Italie/France;5915058;FR/EN;;
Corniche Kennedy;Fiction;France;2027773;FR/EN;;
Fleur de tonnerre;Fiction;France/Belgique;2118048;FR/EN;;
Habitants (Les);Docu;France;1564292;FR/EN;;
Profs 2 (Les);Fiction;France;16960448;FR/EN;;
Tout schuss;Fiction;France;5568725;FR/EN;;
Va, toto !;Fiction;France;422590;FR/EN;;
West coast;Fiction;France;3558336;FR/EN;;
CAGE DOREE (LA);Fiction;France;7 016 941,00;FR/EN;;
DESORDRES;Fiction;France;369 132,00;FR/EN;;
FANNY;Fiction;France;7 685 956,00;FR/EN;;
NUIT D'EN FACE (LA);Fiction;France;838 450,00;FR/EN;;
PARADJANOV;Fiction;Ukraine/France/Georgie/Armenie;2 083 198,00;FR/EN;;
SECRET DE LOULOU (LE);Animation;France/Belgique;7 320 531,00;FR/EN;;
SENS DE L'HUMOUR (LE);Fiction;France;1 049 679,00;FR/EN;;
THEOREME ZERO;Fiction;Grande Bretagne/Roumanie/France;10 338 212,00;FR/EN;;
VANITA;Fiction;Italie/France;5 025 468,00;FR/EN;;
Accident;Fiction;Afrique Du Sud/France;2,68;FR/EN;;
Ana arabia;Fiction;France/Israël;0,95;FR/EN;;
Cow-boys (Les);Fiction;France/Belgique;7,99;FR/EN;;
Don't grow up;Fiction;Espagne/France;2,5;FR/EN;;
Entre 10 et 12;Fiction;Pays-bas/Belgique/France;1,44;FR/EN;;
Mama;Fiction;Espagne/France;3,71;FR/EN;;
Mune;Anim;France;14,07;FR/EN;;
Un français;Fiction;France;3,59;FR/EN;;
24 jours;Fiction;France;4,73;FR/EN;;
Cat 5;Docu;France/Belgique;7,53;FR/EN;;
Invincibles (Les);Fiction;France;7,44;FR/EN;;
Justice ou le chaos (La);Fiction;France/Luxembourg/Belgique;7,97;FR/EN;;
Red Rose;Fiction;France/Grèce;0,9;FR/EN;;
Tempête sous un crane;Docu;France;0,16;FR/EN;;
Tokyo fiancée;Fiction;Belgique/Canada/France;3,13;FR/EN;;
Yema;Fiction;Algérie/France;0,78;FR/EN;;
BELLEVILLE TOKYO;Fiction;France;524 550,00;FR/EN;;
CELIO AZZURO;Documentaire;Italie/France;318 381,00;FR/EN;;
HABEMUS PAPAM;Fiction;Italie/France;9 504 666,00;FR/EN;;
SUR LA PISTE DU MARSUPILAMI;Fiction;France;39 376 399,00;FR/EN;;
THE LADY;Fiction;France;22 107 079,00;FR/EN;;
UN HEUREUX EVENEMENT;Fiction;France/Belgique;11 475 158,00;FR/EN;;
UN MONDE A L'ENVERS;Fiction;Canada/France;34 312 577,00;FR/EN;;
UNE VIE TRANQUILLE;Fiction;Italie/Allemagne/France;4 200 000,00;FR/EN;;
5EME EMPIRE (LE);Fiction;Portugal/France;2 396 625,00;FR/EN;;
JE NE SUIS PAS LA POUR ETRE AIME;Fiction;France;2 187 756,00;FR/EN;;
MAROCK;Fiction;France;2 489 355,00;FR/EN;;
TERRE PROMISE;Fiction;France/Israel;2 661 442,00;FR/EN;;
VINGT NUITS ET UN JOUR DE PLUIE;Fiction;Allemagne/France;2 060 089,00;FR/EN;;
Comme un seul homme;Docu;France;340 471,00;FR/EN;;
Enorme;Fiction;France;2 993 495,00;FR/EN;;
Gendre de ma vie (Le);Fiction;France;7 745 388,00;FR/EN;;
Gogo;Docu;France;1 683 216,00;FR/EN;;
Invité (L');Fiction;Italie/Suisse/France;1 300 000,00;FR/EN;;
Maguy Marin l'urgence d'agir;Docu;France;328 799,00;FR/EN;;
Remember me;Fiction;Espagne/France;3 169 725,00;FR/EN;;
Sol;Fiction;France;4 577 231,00;FR/EN;;
Yao;Fiction;France;6 535 060,00;FR/EN;;
Black snake, jour d'indépendance;Fiction;France;9 521 855,00;FR/EN;;
Caniba;Docu;France;500 518,00;FR/EN;;
Caravan;Fiction;Allemagne/France;5 158 571,00;FR/EN;;
Echappée (L');Fiction;France;2 165 643,00;FR/EN;;
Filles du soleil (Les);Fiction;France/Belgique/Géorgie;3 997 700,00;FR/EN;;
Homme qui a surpris tout le monde (L');Fiction;Russie/France/Estonie;990 000,00;FR/EN;;
In the fade;Fiction;Allemagne/France;4 947 074,00;FR/EN;;
Je vais mieux;Fiction;France;6 280 026,00;FR/EN;;
Mademoiselle de Joncquières;Fiction;France;3 590 000,00;FR/EN;;
Marche ou crève;Fiction;France;1 513 385,00;FR/EN;;
Maria by Callas;Docu;France;1 013 627,00;FR/EN;;
