TITRE;GENRE;NATIONALITE;DEVIS;LANGUE;;
CROISIERE (LA);Fiction;France;11 065 380,00;FR/EN;;
EL IMPENETRABLE;Documentaire;France/Argentine;724 424,00;FR/EN;;
FORCES SPÉCIALES;Fiction;France;9 925 089,00;FR/EN;;
NEIGES DU KILIMANDJARO (LES);Fiction;France;4 179 508,00;FR/EN;;
NENETTE;Documentaire;France;208 357,00;FR/EN;;
OMBLINE;Fiction;France/Belgique;2 891 613,00;FR/EN;;
TEODORA PECHERESSE;Documentaire;France/Roumanie;444 971,00;FR/EN;;
TON PROCHAIN;Fiction;Italie/Finlande/France;2 144 691,00;FR/EN;;
VOIE RAPIDE;Fiction;France;849 880,00;FR/EN;;
ALEX;Fiction;France;1 444 078,00;FR/EN;;
BANLIEUE 13;Fiction;France;13 019 763,00;FR/EN;;
GLORIA MUNDI 2004;Fiction;France;554 000,00;FR/EN;;
PARRAINS (LES);Fiction;France;11 250 815,00;FR/EN;;
ULTRANOVA;Fiction;Belgique/France;2 304 101,00;FR/EN;;
UN HEROS;Fiction;Portugal/France;1 195 735,00;FR/EN;;
VIE DE MICHEL MULLER EST PLUS BELLE QUE LA VOTRE (LA);Fiction;France;1 147 437,00;FR/EN;;
DE FORCE;Fiction;France/Luxembourg/Belgique;6 677 645,00;FR/EN;;
FILS DE L'AUTRE (LE);Fiction;France;2 667 612,00;FR/EN;;
HOLY MOTORS;Fiction;France/Allemagne;3 968 249,00;FR/EN;;
MA BONNE ETOILE;Fiction;France;5 345 023,00;FR/EN;;
Amour flou (L');Fiction;France;521 334,00;FR/EN;;
Andy;Fiction;France;2 375 429,00;FR/EN;;
Beau joueur;Docu;France;399 368,00;FR/EN;;
Bel été (Le);Fiction;France;310 235,00;FR/EN;;
Camille;Fiction;France;1 701 226,00;FR/EN;;
Cunningham aka Cunningham 3D;Docu;Allemagne/France;2 409 505,00;FR/EN;;
Francisca (La);Fiction;Belgique/France;1 022 821,00;FR/EN;;
Magic 7;Fiction;Chine/France;6 107 257,00;FR/EN;;
Touch me not;Fiction;Roumanie/Allemagne/Bulgarie/France;1 058 526,00;FR/EN;;
Walter;Fiction;France/Belgique;3 986 402,00;FR/EN;;
Anna;Fiction;France;30 692 616,00;FR/EN;;
Gauguin;Fiction;France;7 251 434,00;FR/EN;;
Meltem;Fiction;France/Grèce;1 211 127,00;FR/EN;;
Plein la vue !;Fiction;Belgique/France;4 464 500,00;FR/EN;;
Sage femme;Fiction;France;6 789 418,00;FR/EN;;
Tout l'or du monde;Docu;Italie/France/Suisse;367 532,00;FR/EN;;
Une part d'ombre;Fiction;Belgique/France/Suisse;1 444 390,00;FR/EN;;
Vigile;Fiction;Maroc/France;759 564,00;FR/EN;;
16 levers de soleil;Docu;France;637 263,00;FR/EN;;
Amour des hommes (L');Fiction;France/Tunisie;1 133 860,00;FR/EN;;
Dans la tête d'Alain Ducasse;Docu;France;1 040 320,00;FR/EN;;
Happy end;Fiction;France/Allemagne/Autriche;12 034 009,00;FR/EN;;
Luna;Fiction;France;2 101 555,00;FR/EN;;
Paranoïa Park;Fiction;France;22 001,00;FR/EN;;
Rodin;Fiction;France;5 348 095,00;FR/EN;;
Sales gosses;Fiction;France;7 359 778,00;FR/EN;;
Tazzeka;Fiction;France/Maroc;818 223,00;FR/EN;;
Un sac de billes;Fiction;France/Canada;18 178 988,00;FR/EN;;
Wallaye !;Fiction;France;1 201 343,00;FR/EN;;
Ana mon amour;Fiction;Roumanie/Allemagne/France;2 650 001,00;FR/EN;;
Laissez bronzer les cadavres;Fiction;Belgique/France;2 953 053,00;FR/EN;;
Something useful;Fiction;Turquie/France/Pays-bas;750 607,00;FR/EN;;
3 PETITES FILLES;Fiction;France/Belgique;3 969 241,00;FR/EN;;
AU BOUT DU MONDE A GAUCHE;Fiction;Israel/France;3 045 983,00;FR/EN;;
CARLITOS 13 MEDELLIN;Documentaire;France;59 429,00;FR/EN;;
FILS DU VENT (LES);Fiction;France/Espagne/Grande Bretagne;18 948 017,00;FR/EN;;
GUERRIERS DE LA BEAUTE (LES);Fiction;France/Belgique;415 360,49;FR/EN;;
ILS SE MARIERENT ET EURENT BEAUCOUP D'ENFANTS;Fiction;France;9 148 651,00;FR/EN;;
PAS SUR LA BOUCHE;Fiction;France/Suisse;11 200 000,00;FR/EN;;
QUI PERD GAGNE!;Fiction;France;5 323 164,00;FR/EN;;
REVENANTS (LES);Fiction;France;3 422 235,00;FR/EN;;
SALVADOR ALLENDE;Documentaire;France/Belgique/Allemagne;722 074,00;FR/EN;;
STRATOSPHÈRE GIRL;Fiction;Allemagne/Grande Bretagne/France/Suisse/Italie;3 559 769,00;FR/EN;;
BLED NUMBER ONE;Fiction;France;1 165 790,00;FR/EN;;
ESSAYE-MOI;Fiction;France;3 757 645,00;FR/EN;;
NOUS LES VIVANTS;Fiction;Suede/Allemagne/France/Danemark;4 811 112,00;FR/EN;;
OSS 117 - LE CAIRE, NID D'ESPIONS;Fiction;France;14 096 585,00;FR/EN;;
PASSAGER DE L'ETE (LE);Fiction;France;6 535 585,00;FR/EN;;
CAVALCADE;Fiction;France;4 807 469,00;FR/EN;;
LAVORARE CON LENTEZZA;Fiction;Italie/France;3 494 541,00;FR/EN;;
UN PRINTEMPS À PARIS;Fiction;France;3 048 001,00;FR/EN;;
419;Fiction;France;2,26;FR/EN;;
Arrête ou je continue;Fiction;France;1,97;FR/EN;;
Aux yeux des vivants;Fiction;France;2,3;FR/EN;;
Bonheur… terre promise (Le);Docu;France;0,22;FR/EN;;
Boys like us;Fiction;France/Autriche;0,54;FR/EN;;
Brèves de comptoir;Fiction;France;4,16;FR/EN;;
Duchesse de Varsovie (La);Fiction;France;1,1;FR/EN;;
Gemma Bovery;Fiction;France;9,72;FR/EN;;
Geronimo;Fiction;France;2,49;FR/EN;;
Grandir;Docu;France;0,24;FR/EN;;
Intersections;Fiction;France;7,7;FR/EN;;
Mange tes morts;Fiction;France;1,36;FR/EN;;
Situation amoureuse : c'est compliqué;Fiction;France;4,77;FR/EN;;
Son épouse;Fiction;France/Belgique;3,73;FR/EN;;
The Lebanese Rocket Society;Docu;France;0,32;FR/EN;;
The Lunchbox;Fiction;Inde/France/Allemagne;1,24;FR/EN;;
The Smell of us;Fiction;France;2,72;FR/EN;;
8TH WONDERLAND;Fiction;France;741 614,00;FR/EN;;
APRES LE SUD;Fiction;France;917 686,00;FR/EN;;
ART D'AIMER (L');Fiction;France;3 020 000,00;FR/EN;;
ARTICLE 23;Fiction;France;503 432,00;FR/EN;;
BYE BYE BLONDIE;Fiction;France/Belgique/Suisse;4 103 906,00;FR/EN;;
COLOMBIANA;Fiction;France;32 134 121,00;FR/EN;;
CONQUETE (LA);Fiction;France;6 424 365,00;FR/EN;;
HIVER DERNIER (L');Fiction;Belgique/France/Suisse;2 795 019,00;FR/EN;;
PAS A PAS;Documentaire;France;166 844,00;FR/EN;;
POLISSE;Fiction;France;6 137 610,00;FR/EN;;
POUPOUPIDOU;Fiction;France;4 022 087,00;FR/EN;;
STALINGRAD LOVERS;Fiction;France;1 881 794,00;FR/EN;;
TOMBOY;Fiction;France;1 018 260,00;FR/EN;;
TOUS COBAYES ?;Documentaire;France;1 125 238,00;FR/EN;;
UN NUAGE DANS UN VERRE D'EAU;Fiction;France/Canada;1 567 960,00;FR/EN;;
UNE EDUCATION NORVEGIENNE;Fiction;Norvege/Suede/France/Danemark;3 214 636,00;FR/EN;;
VOYAGE DU DIRECTEUR DES RESSOURCES HUMAINES (LE);Fiction;Israel/France;1 851 685,00;FR/EN;;
DIAS DE GRACIA;Fiction;Mexique/France;3 208 971,00;FR/EN;;
ET MAINTENANT ON VA OU ?;Fiction;France/Liban/Italie;4 699 513,00;FR/EN;;
ETRE LÀ;Documentaire;France;425 000,00;FR/EN;;
FOXFIRE, CONFESSIONS D'UN GANG DE FILLES;Fiction;France/Canada;8 796 737,00;FR/EN;;
HOMME AU BAIN;Fiction;France;256 666,00;FR/EN;;
IL ETAIT UNE FOIS, UNE FOIS;Fiction;France/Belgique;7 130 949,00;FR/EN;;
ON NE CHOISIT PAS SA FAMILLE;Fiction;France;13 935 379,00;FR/EN;;
REALITY;Fiction;Italie/France;7 065 152,00;FR/EN;;
TERRE DES OURS;Documentaire;France;4 986 936,00;FR/EN;;
VACANCES DE DUCOBU (LES);Fiction;France;10 805 481,00;FR/EN;;
VIE MURMUREE (LA);Documentaire;France;159 691,00;FR/EN;;
Astragale (L');Fiction;France;1,68;FR/EN;;
Bamberski;Fiction;France/Allemagne;7,99;FR/EN;;
Coup de chaud;Fiction;France;3,44;FR/EN;;
Dealer;Fiction;France;0,18;FR/EN;;
Dictashot;Fiction;Tunisie/France;0,97;FR/EN;;
Elan (L');Fiction;France;0,52;FR/EN;;
Flux;Fiction;France/Belgique;3,09;FR/EN;;
Nos femmes;Fiction;France;12,3;FR/EN;;
Renard jaune (Le);Fiction;France;0,23;FR/EN;;
Respire;Fiction;France;3,35;FR/EN;;
BELLE ET SEBASTIEN;Fiction;France;10 429 990,00;FR/EN;;
BLEU EST UNE COULEUR CHAUDE (LE);Fiction;France/Belgique/Espagne;3 986 834,00;FR/EN;;
CAMILLE CLAUDEL 1915;Fiction;France;3 030 505,00;FR/EN;;
ORLANDO FERITO;Documentaire;France;467 880,00;FR/EN;;
PASSE (LE);Fiction;France/Italie;7 990 000,00;FR/EN;;
QUAI D'ORSAY;Fiction;France;9 435 745,00;FR/EN;;
RELIGIEUSE (LA);Fiction;France/Allemagne/Belgique;5 461 348,00;FR/EN;;
RIVES;Fiction;France;180 394,00;FR/EN;;
BEBE(S);Documentaire;France;3 999 146,00;FR/EN;;
ETE INDIEN (L');Fiction;France;1 509 755,00;FR/EN;;
IRINA PALM;Fiction;Belgique/Allemagne/Luxembourg/Grande Bretagne/France;4 026 544,00;FR/EN;;
JE SUIS DE TITOV VELES;Fiction;Macedoine/Belgique/France/Slovenie;1 326 493,00;FR/EN;;
SERPENT (LE);Fiction;France;8 777 777,00;FR/EN;;
TEHILIM;Fiction;France/Israel;616 793,00;FR/EN;;
UN BEAU MATIN;Fiction;France;133 243,00;FR/EN;;
